Species,common name,USDA Code,Family
Penstemon palmeri,Palmer's penstemon,PEPA8,Scrophulariaceae
Peritoma lutea,yellow spiderflower,CLLU2,Capparaceae
Pleuraphis jamesii,James' galleta,PLJA,Poaceae
Sphaeralcea ambigua,desert globemallow,SPAM2,Malvaceae
Sporobolus cryptandrus,sand dropseed,SPCR,Poaceae
Agoseris grandiflora,bigflower agoseris,AGGR,Asteraceae
Asclepias fascicularis,Mexican whorled milkweed,ASFA,Asclepiadaceae
Penstemon eatonii,firecracker penstemon,PEEA,Scrophulariaceae
Penstemon pachyphyllus,thickleaf beardtongue,PEPA6,Scrophulariaceae
Sphaeralcea coccinea,scarlet globemallow,SPCO,Malvaceae
Leymus cinereus,Great Basin wildrye,LECI4,Poaceae
Amelanchier alnifolia,Saskatoon serviceberry,AMAL,Rosaceae
Amelanchier utahensis,Utah serviceberry,AMUT,Rosaceae
Atriplex canescens,four-wing saltbush,ATCA2,Amaranthaceae
Atriplex confertifolia,shadscale,ATCO,Amaranthaceae
Atriplex torreyi,Torrey’s saltbush,ATTO,Amaranthaceae
Bouteloua gracilis,blue grama,BOGR4,Poaceae
Ceanothus velutinus,Snowbrush ceanothus,CEVE,Rhamnaceae
Cercocarpus ledifolius,littleleaf mountain mahogany,CELE3,Rosaceae
Chrysothamnus greenei,Greene’s rabbitbrush,CHGR6,Asteraceae
Chrysothamnus viscidiflorus,Douglas rabbitbrush,CHVI8,Asteraceae
Ephedra nevadensis,Nevada ephedra,EPNE,Ephedraceae
Ephedra viridis,mormon tea,EPVI,Ephedraceae
Ericameria nauseosa,rubber rabbitbrush,ERNA10,Asteraceae
Eriogonum microthecum,slender buckwheat,ERMI4,Polygonaceae
Eriogonum nudum,nude buckwheat,ERNU3,Polygonaceae
Forestiera pubescens,stretchberry,FOPU2,Oleaceae
Grayia spinosa,spiny hopsage,GRSP,Amaranthaceae
Grindellia squarrosa,curlycup gumweed,GRSQ,Asteraceae
Gutierrezia sarothrae,broom snakeweed,GUSA,Asteraceae
Holodiscus discolor,bush oceanspray,HODI,Rosaceae
Juniperus osteosperma,Utah juniper,JUOS,Cupressaceae
Krascheninnikovia lanata,winterfat,KRLA2,Amaranthaceae
Lupinus argenteus,silvery lupine,LUAR3,Fabaceae
Oenothera elata,tall evening primrose,OEEL,Onagraceae
Paxistima myrsinites ,oregon boxleaf,PAMY,Celastraceae
Pinus monophylla,Single-leaf pinyon,PIMO,Pinaceae
Psorothamnus fremontii,Nevada indigobush,PSFR,Fabaceae
Purshia stansburiana,Stansbury cliffrose,PUST,Rosaceae
Purshia tridentata,bitterbrush,PUTR2,Rosaceae
Ribes cereum,wax current,RICE,Grossulariaceae
Rosa woodsi,Woods’ rose,ROWO,Rosaceae
Sambucus mexicana,blue elderberry,SANI,Virburnaceae
Sambucus racemosa,red elderberry,SARA2,Virburnaceae
Shepherdia argentea,silver buffaloberry,SHAR,Elaeagnaceae
Symphoricarpos albus,common snowberry,SYAL,Caprifoliaceae
Symphoricarpos oreophilus,mountain snowberry,SYOR2,Caprifoliaceae
Tetradymia canescens,spineless horsebrush,TECA2,Asteraceae
